STT,MSSV,Ten,Ho,Gioi tinh,Ngay sinh,ID,DiemGK,DiemCK,DiemCong,GPA
1,22120001,An,Bui Duy,Nam,01/01/2004,12343211,8,8,1,9
2,22120022,Bao,Le,Nam,26/12/2004,12345678,9,9,0,9
3,22120054,Dat,Le Van Thanh,Nam,14/04/2004,283593255,2,2,0,2
4,22120173,Kiet,Nguyen Tuan,Nam,14/02/2004,0394958554,3,3,0,3
5,22120239,Nguyen,Pham Xua,Nam,18/10/2004,1267412421,4,4,0,4
6,22120023,Bao,Le Nguyen Gia,Nam,15/04/2004,1284681244,5,5,0,5
7,22120033,Chau,Phan Cong,Nam,18/03/2004,8126418641,6,6,0,6
8,22120040,Cong,Truong Viet,Nam,14/02/2004,124124155,7,7,0,7
9,22120008,An,Pham Thien,Nu,27/09/2004,1248142148,8,8,0,8
10,22120071,Duc,Phan Ba,Nam,16/10/2004,7126418412,9,9,0,9
